itemnum,itemnamee,qty,unitnamee,Area,storloc1,storloc2,storloc3,storloc4,storloc5,storloc6,storloc7,storloc8,storloc9,storloc10,storloc11,storloc12,storloc13,storloc14,storloc15
1000046672,ADAPTER  TUBING TO PIPE  3/4 IN OD,10.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000047281,ELBOW  TUBING ADAPTER  3/8 IN OD TUBE,30.0,EA,,A17A3B,,,,,,,,,,,,,,
1000047289,ELBOW  TUBING ADAPTER  3/4 IN OD TUBE,10.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000047331,ELBOW  TUBING ADAPTER  1/2 IN OD TUBE,9.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000047333,ELBOW  TUBING ADAPTER  3/4 IN OD TUBE,10.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000047970,REDUCER  TUBING  3/8 IN X 1/2 IN NOM ,10.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000048661,REDUCER  TUBING  3/4 IN X 1/2 IN NOM ,10.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000048667,UNION  TUBING  1/2 IN  HEAVY DUTY     S,10.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000049698,LAMP  QUARTZ  70 W  120 VAC  MEDIUM,-5.0,EA,,L01D2,L03B1,,,,,,,,,,,,,
1000049698,LAMP  QUARTZ  70 W  120 VAC  MEDIUM,20.0,EA,"OIL TRAIN 3, 4 & 5",L01D2,L03B1,,,,,,,,,,,,,
1000051244,BUSHING  1/2 IN UNC THD  CS  HIGH,3.0,EA,"OIL TRAIN 3, 4 & 5",L06B2,,,,,,,,,,,,,,
1000051452,BUSHING  PIPE  HOT OR COLD WATER,10.0,EA,UTILITIES,A08B1B,,,,,,,,,,,,,,
1000051552,BUSHING  PIPE  HOT OR COLD WATER,10.0,EA,UTILITIES,A08B1B,,,,,,,,,,,,,,
1000051582,BUSHING  PIPE  1 IN X 1/2 IN NOM ,10.0,EA,UTILITIES,A08H4B,,,,,,,,,,,,,,
1000052018,COUPLING: PIPE HOT OR COLD WATER,29.0,EA,,A17F1B,,,,,,,,,,,,,,
1000052858,FLANGE: PIPE HOT OR COLD WATER 6IN CPCV,9.0,EA,,A17G3B,,,,,,,,,,,,,,
1000053106,NIPPLE  PIPE  HOT OR COLD WATER,10.0,EA,UTILITIES,A08A5B,,,,,,,,,,,,,,
1000053108,NIPPLE  PIPE  HOT OR COLD  1  X 3  LG,10.0,EA,UTILITIES,A08E6B,,,,,,,,,,,,,,
1000053113,NIPPLE: PIPE:HOT/COLD WATER SERVICE,31.0,EA,,A17E2B,,,,,,,,,,,,,,
1000053498,UNION  PIPE  1 IN  SOCKET WELD X,10.0,EA,UTILITIES,A08G3B,,,,,,,,,,,,,,
1000053513,UNION  PIPE  HOT OR COLD WATER SERVICE ,10.0,EA,UTILITIES,A08A3B,,,,,,,,,,,,,,
1000054001,ELBOW  TUBING ADAPTER  1/2 IN OD TUBE,8.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000054045,GLOBE  LIGHTING FIXTURE  215.9 MM,4.0,EA,,A18D1B,,,,,,,,,,,,,,
1000054237,ELBOW  TUBING ADAPTER  1/2 IN OD TUBE,10.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000055568,VALVE  CHECK  2 IN  ANSI CLASS 150 ,1.0,EA,UTILITIES,F07B1,,,,,,,,,,,,,,
1000055632,VALVE  GATE  WEDGE  1/2 IN  ANSI CL,10.0,EA,UTILITIES,F07B1,,,,,,,,,,,,,,
1000056128,RESISTOR  ADJUSTABLE  250 OHM  200 W,200.0,EA,PCU,J08A1,,,,,,,,,,,,,,
1000057018,BALLAST  HIGH PRESSURE SODIUM ,1.0,EA,"OIL TRAIN 3, 4 & 5",L03B2,,,,,,,,,,,,,,
1000057035,BALLAST  HIGH PRESSURE SODIUM ,10.0,EA,OIL TRAIN 1&2,K06B2,,,,,,,,,,,,,,
1000058016,VALVE  BALL  2 IN  ANSI CL 600  FULL ,2.0,EA,,C03A1,,,,,,,,,,,,,,
1000058407,FIXTURE  LED  EXIT,5.0,EA,"OIL TRAIN 3, 4 & 5",L03A1,L03B2,L08A2,,,,,,,,,,,,
1000058531,VALVE  GATE  WEDGE  FLEXIBLE  2 IN ,2.0,EA,,A18D5B,,,,,,,,,,,,,,
1000059046,"LAMP, FLUOR, USE MN 1000776007",33.0,EA,GAS,G02A1,,,,,,,,,,,,,,
1000059329,LAMP  HID  250 W  METAL HALIDE  8 1/4,0.0,EA,,A07A2,D01A1,,,,,,,,,,,,,
1000059329,LAMP  HID  250 W  METAL HALIDE  8 1/4,36.0,EA,MCU,A07A2,D01A1,,,,,,,,,,,,,
1000060857,LAMP  INCANDESCENT  FLOODLIGHT,92.0,EA,MCU,A17H3B,A17H4B,A17H5B,A17H6B,,,,,,,,,,,
1000060860,GATE VALVE  3/4 IN  API CL 800,1.0,EA,MCU,A17D2B,,,,,,,,,,,,,,
1000060952,LAMP  INCAND  40W  120VAC  SIGHT GLASS,420.0,EA,OIL TRAIN 1&2,A07G6B,K06B2,,,,,,,,,,,,,
1000061108,LAMP  HIGH PRESSURE SODIUM ,0.0,EA,"OIL TRAIN 3, 4 & 5",H03B2,L03B2,,,,,,,,,,,,,
1000061108,LAMP  HIGH PRESSURE SODIUM ,39.0,EA,SHIPPING,H03B2,L03B2,,,,,,,,,,,,,
1000061129,LAMP  HID,1.0,EA,,A07A2,B06D2,D01A1,,,,,,,,,,,,
1000061129,LAMP  HID,33.0,EA,MCU,A07A2,B06D2,D01A1,,,,,,,,,,,,
1000063489,VALVE  CHECK  8 IN  ANSI CL 150 ,1.0,EA,SHIPPING,H02A1,,,,,,,,,,,,,,
1000065129,MOTOR INDUCTION INTEGRAL 1 HP,1.0,EA,SHIPPING,H03C2,,,,,,,,,,,,,,
1000066018,VALVE  GATE  INDICATOR POST  8 IN ,-4.0,EA,,A01A1,,,,,,,,,,,,,,
1000066018,VALVE  GATE  INDICATOR POST  8 IN ,4.0,EA,MCU,A01A1,,,,,,,,,,,,,,
1000066040,VALVE  GATE  INDICATOR POST  16 IN ,3.0,EA,GAS,27A4,,,,,,,,,,,,,,
1000066677,MOTOR  INDUCTION  INTEGRAL  15 HP,2.0,EA,,C01C1,C01C2,,,,,,,,,,,,,
1000067092,VALVE  GATE  WEDGE  16 IN 150 ANSI CL,4.0,EA,"OIL TRAIN 3, 4 & 5",27A2,,,,,,,,,,,,,,
1000067094,VALVE GATE WEDGE 16 IN 300 ANSI,1.0,EA,"OIL TRAIN 3, 4 & 5",27A2,,,,,,,,,,,,,,
1000067261,VALVE  WEDGE GATE 6  ASTM A-216 150 LB,1.0,EA,,B03B1,,,,,,,,,,,,,,
1000067268,VALVE  WEDGE GATE ,1.0,EA,GAS,27A4,,,,,,,,,,,,,,
1000067983,VALVE  GATE  WEDGE  2 IN ,7.0,EA,,C03A1,,,,,,,,,,,,,,
1000068732,VALVE  GATE  WEDGE  COMPACT  1/2 IN ,10.0,EA,UTILITIES,A07A2B,,,,,,,,,,,,,,
1000068768,VALVE  GATE  SOLID WEDGE  MODEL  600/300,30.0,EA,UTILITIES,A08E6B,A08G5B,,,,,,,,,,,,,
1000068780,VALVE  NONFERROUS WEDGE GATE 3/4  300 LB,30.0,EA,UTILITIES,A08C4B,A08E5B,,,,,,,,,,,,,
1000068782,VALVE  NON-FERROUS WEDGE GATE ,12.0,EA,UTILITIES,A07A2B,,,,,,,,,,,,,,
1000068979,VALVE  GATE  WEDGE  COMPACT  1/2 IN   A,20.0,EA,,C01A2,,,,,,,,,,,,,,
1000069341,VALVE GATE 1X800 THRD,10.0,EA,,A18G4B,,,,,,,,,,,,,,
1000070651,VALVE GLOBE 3 IN CL 600,1.0,EA,GAS,27A4,,,,,,,,,,,,,,
1000071735,VALVE  GLOBE 1 X 800 THRD.,5.0,EA,UTILITIES,A08D2B,,,,,,,,,,,,,,
1000071983,VALVE  GLOBE  1 IN  API CL 800 ,7.0,EA,SHIPPING,A08D1B,H03C1,,,,,,,,,,,,,
1000071983,VALVE  GLOBE  1 IN  API CL 800 ,5.0,EA,UTILITIES,A08D1B,H03C1,,,,,,,,,,,,,
1000072173,VALVE  GLOBE  1/2 IN  ANSI CL 300 ,5.0,EA,UTILITIES,A08C1B,A08D2B,,,,,,,,,,,,,
1000072457,VALVE BALL 2X300 RF,7.0,EA,,B02C1,,,,,,,,,,,,,,
1000072796,BOLT  STRIPPER  HEX SOCKET HD  UNI,11.0,EA,UTILITIES,A08B1B,,,,,,,,,,,,,,
1000074125,MOTOR  INDUCTION  INTEGRAL  3 HP,4.0,EA,"OIL TRAIN 3, 4",L01A1,,,,,,,,,,,,,,
1000074548,VALVE  BALL  3/4 IN  5.5 MPA (800,6.0,EA,UTILITIES,A08F1B,A08H1B,,,,,,,,,,,,,
1000074597,VALVE  BALL.1X400.,5.0,EA,UTILITIES,A08G5B,,,,,,,,,,,,,,
1000074600,VALVE  BALL  1-1/2 IN  2.75 MPA (400,42.0,EA,,B03B1,L02A2,,,,,,,,,,,,,
1000074600,VALVE  BALL  1-1/2 IN  2.75 MPA (400,20.0,EA,"OIL TRAIN 3, 4 & 5",B03B1,L02A2,,,,,,,,,,,,,
1000075224,VALVE  BALL  1 IN  6.9 MPA (1000,6.0,EA,GAS,27A5,A07A1B,A08F1B,G02A2,,,,,,,,,,,
1000075224,VALVE  BALL  1 IN  6.9 MPA (1000,15.0,EA,UTILITIES,27A5,A07A1B,A08F1B,G02A2,,,,,,,,,,,
1000075224,VALVE  BALL  1 IN  6.9 MPA (1000,15.0,EA,WIP,27A5,A07A1B,A08F1B,G02A2,,,,,,,,,,,
1000075746,VALVE  PLUG  LUBRICATED  4 X 300 RF A216,1.0,EA,GAS,27A4,,,,,,,,,,,,,,
1000077165,VALVE  BUTTERFLY  HIGH PERFORMANCE ,2.0,EA,GAS,27A4,,,,,,,,,,,,,,
1000077665,CORD  COMMUNICATIONS  4 CONDUCTOR ,12.0,EA,PCU,A16A1B,,,,,,,,,,,,,,
1000079869,GATE VALVE WEDGE 10IN CL 150,1.0,EA,UTILITIES,F08C2,,,,,,,,,,,,,,
1000083047,GASKET  SPIRAL WOUND  2 IN  CLASS,350.0,EA,,A02B2,,,,,,,,,,,,,,
1000083051,GASKET  SPIRAL WOUND  4 IN  CLASS,60.0,EA,,C08A2,,,,,,,,,,,,,,
1000083053,GASKET  SPIRAL WOUND  10 IN  CLASS,10.0,EA,,A02C1,,,,,,,,,,,,,,
1000083055,GASKET  SPIRAL WOUND  10 IN  CLASS,160.0,EA,,C06B2,,,,,,,,,,,,,,
1000083185,GASKET  SPIRAL WOUND  36 IN  CLASS,60.0,EA,,C07A2,,,,,,,,,,,,,,
1000083209,GASKET  SPIRAL WOUND  12 IN  CLASS,126.0,EA,,A02A2,,,,,,,,,,,,,,
1000083221,GASKET  SPIRAL WOUND  16 IN  CLASS,3.0,EA,,A17E3B,C08A1,,,,,,,,,,,,,
1000083878,GASKET  SPIRAL WOUND  16 IN  ANSI,163.0,EA,,A01A1,,,,,,,,,,,,,,
1000084321,GASKET  SPIRAL WOUND  3/4 IN  CLASS,5.0,EA,,C06A1,,,,,,,,,,,,,,
1000084451,GASKET  SPIRAL WOUND  14 IN  ANSI,211.0,EA,,A02B1,,,,,,,,,,,,,,
1000084585,GASKET  SPIRAL WOUND  10 IN  ANSI,30.0,EA,,A03D1,,,,,,,,,,,,,,
1000084740,GASKET  SPIRAL WOUND  2 IN  ANSI,40.0,EA,,A03D2,,,,,,,,,,,,,,
1000084794,GASKET  SPIRAL WOUND  30 IN  CLASS,78.0,EA,,A02C2,,,,,,,,,,,,,,
1000084895,GASKET  SPIRAL WOUND  28 IN  CL 300 ,27.0,EA,,C08A1,,,,,,,,,,,,,,
1000085356,GASKET  SPIRAL WOUND  3 IN  ANSI,30.0,EA,UTILITIES,A08G1B,,,,,,,,,,,,,,
1000085358,GASKET  SPIRAL WOUND  2 IN  ANSI,30.0,EA,UTILITIES,F07C2,,,,,,,,,,,,,,
1000085360,GASKET  SPIRAL WOUND  6 IN  ANSI,46.0,EA,,A08H6B,C06D2,F07C2,,,,,,,,,,,,
1000085360,GASKET  SPIRAL WOUND  6 IN  ANSI,30.0,EA,UTILITIES,A08H6B,C06D2,F07C2,,,,,,,,,,,,
1000086080,O-RING  209.14 MM ID  3.53 MM WD/THK ,1.0,EA,OIL TRAIN 1&2,A07D3B,,,,,,,,,,,,,,
1000086487,GASKET  SPIRAL WOUND  2 IN  CLASS,6.0,EA,UTILITIES,A08A1B,,,,,,,,,,,,,,
1000087321,GASKET  SPIRAL WOUND  36 IN  ANSI,18.0,EA,,C07A1,,,,,,,,,,,,,,
1000087326,GASKET  SPIRAL WOUND  30 IN  ANSI,0.0,EA,,A03D1,,,,,,,,,,,,,,
1000088279,GASKET  SPIRAL WOUND  12 IN  ANSI,18.0,EA,,C08A2,,,,,,,,,,,,,,
1000088289,GASKET  SPIRAL WOUND  14 IN  ANSI,43.0,EA,,C06C2,,,,,,,,,,,,,,
1000088295,"COMPOUND, SEALING: STEAM",2.0,EA,GAS,G03A1,,,,,,,,,,,,,,
1000089834,GASKET  INSULATING  2 IN  ASME CLASS,12.0,EA,,A17D4B,,,,,,,,,,,,,,
1000089837,GASKET  INSULATING  3 IN  ASME CLASS,12.0,EA,,A17A6B,A17D4B,,,,,,,,,,,,,
1000089852,GASKET  INSULATING  4 IN  ASME CLASS,10.0,EA,,A17A5B,A18A1C,L03B2,,,,,,,,,,,,
1000089852,GASKET  INSULATING  4 IN  ASME CLASS,6.0,EA,"OIL TRAIN 3, 4 & 5",A17A5B,A18A1C,L03B2,,,,,,,,,,,,
1000089861,GASKET  INSULATING  12 IN  ASME CLASS,30.0,EA,,C08A1,,,,,,,,,,,,,,
1000089923,GASKET  INSULATING  2 IN  ASME CLASS,2.0,EA,,A17D5B,,,,,,,,,,,,,,
1000089959,GASKET  INSULATING  16 IN  ASME CLASS,17.0,EA,,A17C4B,,,,,,,,,,,,,,
1000089975,GASKET  INSULATING  3 IN  ASME CLASS,2.0,EA,,A17A3B,,,,,,,,,,,,,,
1000090051,GASKET  INSULATING  3 IN  ASME CLASS,6.0,EA,,A17E6B,,,,,,,,,,,,,,
1000090998,GASKET RING NON METALIC: FLAT,1.0,EA,,A17F3B,,,,,,,,,,,,,,
1000091066,BUSHING  PIPE  1/2 IN X 1/8 IN NOM ,10.0,EA,UTILITIES,A08G1B,,,,,,,,,,,,,,
1000091468,GASKET  SPIRAL WOUND  16 IN  CLASS,447.0,EA,,C07B1,C07B2,C08B1,,,,,,,,,,,,
1000091575,GASKET  SPIRAL WOUND  28 IN  CLASS,10.0,EA,,A02A2,,,,,,,,,,,,,,
1000091996,RELAY  CONTROL  AUXILIARY  TYPE C2000,4.0,EA,PCU,A16D1B,,,,,,,,,,,,,,
1000094608,GASKET  RJ   2  X 300#/600# BRIN HRD-90,30.0,EA,UTILITIES,F06C1,,,,,,,,,,,,,,
1000094662,GASKET  RING JOINT  R24  SOFT IRON    (,34.0,EA,,A17A6B,,,,,,,,,,,,,,
1000094695,GASKET  RING JOINT  R31  SOFT IRON    (,3.0,EA,"OIL TRAIN 3, 4 & 5",L02B2,L03B2,,,,,,,,,,,,,
1000094740,GASKET  RING JOINT  R37  SOFT IRON    (,3.0,EA,"OIL TRAIN 3, 4 & 5",L02B2,,,,,,,,,,,,,,
1000094861,GASKET  RING JOINT  R45  SOFT IRON    (,0.0,EA,,C07A2,,,,,,,,,,,,,,
1000094876,GASKET  RJ   8  X 300#/600#/900# BRIN HR,10.0,EA,UTILITIES,A08H3B,,,,,,,,,,,,,,
1000094878,GASKET  RING JOINT  R50  SOFT IRON    (,0.0,EA,,C08A1,,,,,,,,,,,,,,
1000095682,GASKET  RING JOINT  R39  304 SS       (,12.0,EA,SHIPPING,H03B2,,,,,,,,,,,,,,
1000096027,GASKET  INSULATING  2 IN  ASME CL,3.0,EA,,A17D4B,,,,,,,,,,,,,,
1000096050,GASKET  INSULATING  2 IN  ASME CL,12.0,EA,,A18H1B,,,,,,,,,,,,,,
1000096057,GASKET  INSULATING  2 IN  ASME CL     9,196.0,EA,,A17B1B,A17B3B,A17C1B,A17C2B,A17C5B,A17C6B,A18A1C,A18A2B,C01A1,L03B2,L07B2,,,,
1000096057,GASKET  INSULATING  2 IN  ASME CL     9,26.0,EA,"OIL TRAIN 3, 4 & 5",A17B1B,A17B3B,A17C1B,A17C2B,A17C5B,A17C6B,A18A1C,A18A2B,C01A1,L03B2,L07B2,,,,
1000096105,GASKET  INSULATING  4 IN  ASME CL,2.0,EA,,A17A5B,,,,,,,,,,,,,,
1000096219,GASKET  INSULATING  8 IN  ASME CL,53.0,EA,,A03A1,A17C3B,C08A1,,,,,,,,,,,,
1000096251,GASKET  INSULATING  10 IN  ASME CL,2.0,EA,"OIL TRAIN 3, 4 & 5",L06A2,,,,,,,,,,,,,,
1000096253,GASKET  INSULATING ,2.0,EA,"OIL TRAIN 3, 4 & 5",L06A2,,,,,,,,,,,,,,
1000096255,GASKET  INSULATING  10 IN  ASME CL,2.0,EA,"OIL TRAIN 3, 4 & 5",L06A2,,,,,,,,,,,,,,
1000096257,GASKET  INSULATING  10 IN  ASME CL    1,3.0,EA,,C08A1,,,,,,,,,,,,,,
1000096281,GASKET  INSULATING  12 IN  ASME CL,32.0,EA,,C07B1,,,,,,,,,,,,,,
1000096424,GASKET  INSULATING  16 IN  ASME CL,22.0,EA,,C06A2,,,,,,,,,,,,,,
1000096495,GASKET  INSULATING  20 IN  ASME CL,1.0,EA,,A08B2,,,,,,,,,,,,,,
1000096730,GASKET  INSULATING   2  X 150# ANSI B16.,10.0,EA,,A17B3B,,,,,,,,,,,,,,
1000096735,GASKET  INSULATING   3  X 150# ANSI B16.,18.0,EA,,A17B3B,,,,,,,,,,,,,,
1000096739,GASKET  INSULATING NOM.SIZE 4 ,8.0,EA,,A17E6B,,,,,,,,,,,,,,
1000096849,GASKET KIT  INSULATING  2  X 150# ANSI B,156.0,EA,,A08A1B,A17B4B,A17B5B,A17B6B,L06B2,L08A2,,,,,,,,,
1000096849,GASKET KIT  INSULATING  2  X 150# ANSI B,2.0,EA,"OIL TRAIN 3, 4 & 5",A08A1B,A17B4B,A17B5B,A17B6B,L06B2,L08A2,,,,,,,,,
1000096849,GASKET KIT  INSULATING  2  X 150# ANSI B,3.0,EA,UTILITIES,A08A1B,A17B4B,A17B5B,A17B6B,L06B2,L08A2,,,,,,,,,
1000096862,KIT  INSULATING  GASKET ,26.0,EA,,A17C4B,A17D5B,,,,,,,,,,,,,
1000096865,GASKET KIT  INSULATING  16 STL WSGR ,8.0,EA,,A17D3B,,,,,,,,,,,,,,
1000096869,KIT  INSULATING  GASKET ,16.0,EA,,A17B1B,A17D5B,A18E3B,,,,,,,,,,,,
1000096946,GASKET KIT  INSULATING 10 X150# ANSI B16,9.0,EA,,C08A1,,,,,,,,,,,,,,
1000097106,GASKET KIT  INSULATING  16 STL WSGR ,13.0,EA,,A17C3B,,,,,,,,,,,,,,
1000097119,GASKET KIT  INSULATING  16 STL WSGR ,1.0,EA,"OIL TRAIN 3, 4 & 5",L03B2,,,,,,,,,,,,,,
1000097277,GASKET KIT  INSULATING  32 STL WSGR ,9.0,EA,,C08A1,,,,,,,,,,,,,,
1000100218,PACKING  SHEET ,5.0,EA,,B01A1,,,,,,,,,,,,,,
1000100258,PACKING  SHEET ,13.0,EA,,A01D1,B01A1,,,,,,,,,,,,,
1000100350,PACKING  SHEET ,2.0,EA,"OIL TRAIN 3, 4 & 5",L06A2,,,,,,,,,,,,,,
1000101888,WASHER  SEAL  FOR SPRING GUIDE BOLTS,6.0,EA,"OIL TRAIN 3, 4 & 5",L02A2,,,,,,,,,,,,,,
1000102398,SEALANT  PERMATEX  X466-270,20.0,EA,,A18B5B,,,,,,,,,,,,,,
1000103954,O-RING  21.3 MM ID  28.5 MM OD  3.60,2.0,EA,UTILITIES,A08A6B,,,,,,,,,,,,,,
1000108022,O-RING ,1.0,EA,SHIPPING,H02B2,,,,,,,,,,,,,,
1000108671,O-RING ,6.0,EA,,A18H5B,,,,,,,,,,,,,,
1000108712,O-RING ,2.0,EA,"OIL TRAIN 3, 4 & 5",L01B2,,,,,,,,,,,,,,
1000108739,O-RING ,2.0,EA,UTILITIES,A08A5B,,,,,,,,,,,,,,
1000108860,O-RING ,8.0,EA,"OIL TRAIN 3, 4 & 5",L03A1,L06A1,,,,,,,,,,,,,
1000109182,O-RING ,1.0,EA,SHIPPING,H03B1,,,,,,,,,,,,,,
1000109477,O-RING ,1.0,EA,GAS,G01A2,,,,,,,,,,,,,,
1000109628,O-RING ,2.0,EA,"OIL TRAIN 3, 4 & 5",L03A1,,,,,,,,,,,,,,
1000110878,"KIT: CALIBRATION, (Use MN 1000556551)",24.0,EA,PCU,H06B1,,,,,,,,,,,,,,
1000111164,SENSOR /ALUMINUM BODY  RANGE 0-100 PPM.,8.0,EA,SHIPPING,H03C1,,,,,,,,,,,,,,
1000111720,GUARD  SPLASH  FOR USE WITH MODEL,30.0,EA,SHIPPING,H03C1,,,,,,,,,,,,,,
1000111728,SENSOR  HC  STANDARD AL,8.0,EA,SHIPPING,H03C1,,,,,,,,,,,,,,
1000112175,O - RING,1.0,EA,MCU,A08B1,,,,,,,,,,,,,,
1000112646,POWDER  WELD METAL ,17.0,EA,PCU,B11B4B,,,,,,,,,,,,,,
1000114007,ELECTRODE  WELDING  2.4 MM (3/32 IN),6.0,EA,UTILITIES,F06D1,,,,,,,,,,,,,,
1000114419,ELECTRODE  WELDING  COATED ,0.0,EA,,B02B1,,,,,,,,,,,,,,
1000116822,FILTER  TUBE  92 A  100-12-CO,7.0,EA,PCU,H08A1,,,,,,,,,,,,,,
1000118407,PACKING  COIL ,2.0,EA,GAS,G01A2,,,,,,,,,,,,,,
1000119579,GASKET  SPIRAL WOUND    MODEL  100 VLT 7,10.0,EA,,A17B3B,,,,,,,,,,,,,,
1000119631,GASKET  SPIRAL WOUND    MODEL  100 VLT 7,20.0,EA,,A03C2,,,,,,,,,,,,,,
1000119636,GASKET  SPIRAL WOUND    MODEL  100 VLT 7,226.0,EA,,A02C1,A08B6B,F06C1,,,,,,,,,,,,
1000119636,GASKET  SPIRAL WOUND    MODEL  100 VLT 7,13.0,EA,UTILITIES,A02C1,A08B6B,F06C1,,,,,,,,,,,,
1000119638,GASKET  SPIRAL WOUND    MODEL  100 VLT 7,39.0,EA,,A03C2,,,,,,,,,,,,,,
1000119651,GASKET  SPIRAL WOUND    MODEL  100 VLT 7,50.0,EA,,C06A1,,,,,,,,,,,,,,
1000119654,GASKET  SPIRAL WOUND    MODEL  100 VLT 7,22.0,EA,,C06A1,,,,,,,,,,,,,,
1000119657,GASKET  SPIRAL WOUND    MODEL  100 VLT 7,62.0,EA,,A02A2,,,,,,,,,,,,,,
1000119659,GASKET  SPIRAL WOUND      12   CL.150  A,19.0,EA,,A02C1,,,,,,,,,,,,,,
1000119703,GASKET  SPIRAL WOUND    MODEL  100 VLT 7,219.0,EA,,A01A2,,,,,,,,,,,,,,
1000119705,GASKET  SPIRAL WOUND  18 IN NPS  CL   1,229.0,EA,,A02A1,,,,,,,,,,,,,,
1000119707,GASKET  SPIRAL WOUND ,4.0,EA,,A02C1,,,,,,,,,,,,,,
1000119709,GASKET  SPIRAL WOUND    MODEL  100 VLT 7,56.0,EA,,A03C1,,,,,,,,,,,,,,
1000119732,GASKET  SPIRAL WOUND  12 IN NPS  CL   1,54.0,EA,,A02C1,,,,,,,,,,,,,,
1000119824,GASKET,32.0,EA,,C06C1,,,,,,,,,,,,,,
1000119829,GASKET 30 X150# SPIRAL WOUND SS,36.0,EA,,A03B2,,,,,,,,,,,,,,
1000119961,GASKET  SPIRAL WOUND ,1.0,EA,,A03D2,,,,,,,,,,,,,,
